node,record_id,name,layer,layer_name,degree,cross_layer_degree,betweenness_centrality,PCA_PC1,PCA_PC2,betweenness_rank,cross_layer_bridge_rank
176,PUBCHEM_887,methanol,1,Simple organic chemistry,12,2,0.022266604972032887,-3.0076694161944584,0.22541587480335387,16,118
141,PUBCHEM_6329,methylamine,1,Simple organic chemistry,8,2,0.014812391039972452,-2.9126569484285487,0.26928250964676925,22,119
102,PUBCHEM_527,propionaldehyde,1,Simple organic chemistry,21,2,0.007708327118287915,-2.7545076744963426,0.49888573430087296,40,120
187,PUBCHEM_996,phenol,1,Simple organic chemistry,5,2,0.005082949545877027,-1.6036431504064683,0.19836569592573858,62,121
135,PUBCHEM_6305,tryptophan,2,Prebiotic building blocks,19,2,0.001963342324880979,1.6403263881971817,1.3573636082530578,85,122
155,PUBCHEM_729,glyceraldehyde 3-phosphate,2,Prebiotic building blocks,7,2,0.0011396808846104122,0.31430809294594925,-0.04271700680965295,97,123
89,PUBCHEM_289,catechol,1,Simple organic chemistry,4,2,0.001109529833438752,-1.0447101699995933,0.021286937277346773,98,124
39,PUBCHEM_1102,spermidine,3,Pre-nucleic/functional systems,8,2,2.4643288400404145e-05,-0.010587937357559925,2.1932864618219123,136,125
40,PUBCHEM_1103,spermine,3,Pre-nucleic/functional systems,8,2,2.4643288400404145e-05,1.449227320508016,3.2339863728327862,137,126
113,PUBCHEM_597,cytosine,2,Prebiotic building blocks,7,1,0.14709007934522147,-0.4713171205299909,-0.7096734511720522,2,127
48,PUBCHEM_1174,uracil,2,Prebiotic building blocks,7,1,0.013474569771686453,-0.641231377266418,-0.7865839707394222,24,128
50,PUBCHEM_1188,xanthine,2,Prebiotic building blocks,9,1,0.011273465162481948,1.0774942997759138,-0.7830404014058773,31,129
163,PUBCHEM_7854,propionitrile,1,Simple organic chemistry,9,1,0.003556205212338193,-2.7612566278231276,0.454590500726357,75,130
84,PUBCHEM_2723923,ammonium formate,1,Simple organic chemistry,11,1,0.0009288446859580378,-2.203851731573836,-1.349440379837327,101,131
162,PUBCHEM_77982,ribose 5-phosphate,2,Prebiotic building blocks,5,1,0.0003464462723013721,2.007819188673648,0.22319318564552307,114,132
72,PUBCHEM_174,ethylene glycol,1,Simple organic chemistry,5,1,0.0,-2.166494316412373,0.2823386302716122,143,133
180,PUBCHEM_967,orotic acid,2,Prebiotic building blocks,4,1,0.0,0.48472916878172745,-0.7667729779075901,144,134
144,PUBCHEM_6342,acetonitrile,1,Simple organic chemistry,3,1,0.0,-2.971061782552403,0.014767934429156037,145,135
27,PUBCHEM_10005,dicyandiamide,2,Prebiotic building blocks,2,1,0.0,-1.3929707076567994,-1.0614841283875214,146,136
6,L0_3299926263e92c7d,Formaldehyde,0,Inorganic/mineral chemistry,1,1,0.0,-3.2605137729820473,-0.9062331729826222,147,137
20,L0_c1f418a0e6bf9a26,Hydrogen cyanide,0,Inorganic/mineral chemistry,1,1,0.0,-3.2096455045668275,-0.8077473089080427,148,138
23,L0_ddf74783a6568c47,Carbon dioxide,0,Inorganic/mineral chemistry,1,1,0.0,-2.8852355525241045,-1.1536841173460948,149,139
35,PUBCHEM_1068,dimethyl sulfide,2,Prebiotic building blocks,1,1,0.0,-3.1737625447106614,0.6571864939310621,150,140
68,PUBCHEM_145742,proline,2,Prebiotic building blocks,1,1,0.0,-0.5221851046194048,0.3686929258378262,151,141
139,PUBCHEM_6325,ethylene,1,Simple organic chemistry,1,1,0.0,-3.4827519276043364,-0.38824941708989136,152,142
140,PUBCHEM_6326,acetylene,1,Simple organic chemistry,1,1,0.0,-3.4785619536726657,-0.5159591426521446,153,143
